Model,Accuracy,Precision,Recall,Top-1 Accuracy,Top-3 Accuracy,Top-5 Accuracy,MPD Distance (meters)
HMM,0.653061224490,0.605081426510,0.653061224490,0.653061224490,0.897959183673,0.918367346939,4364.404451429
GNN,0.504761904762,0.438886055101,0.504761904762,0.504761904762,0.691836734694,0.787074829932,3216.8614285539
Fusion,0.498639455782,0.444250082071,0.498639455782,0.498639455782,0.768027210884,0.819727891156,5196.347566764
